s_t,s,s_d
930.0,8060.0,-2.420850000002247
931.0,8059.0,-2.4205499999989115
932.0,8058.0,-2.420250000001033
933.0,8057.0,-2.419949999997698
934.0,8056.0,-2.4196499999998196
935.0,8055.0,-2.4193500000001222
936.0,8054.0,-2.419050000000425
937.0,8053.0,-2.4187500000007276
938.0,8052.0,-2.4184499999992113
939.0,8051.0,-2.418149999999514
940.0,8050.0,-2.4178500000016356
941.0,8049.0,-2.4175500000001193
942.0,8048.0,-2.417249999998603
943.0,8047.0,-2.4169500000007247
944.0,8046.0,-2.4166499999992084
945.0,8045.0,-2.41635000000133
946.0,8044.0,-2.4160499999998137
947.0,8043.0,-2.4157500000001164
948.0,8042.0,-2.4154499999986
949.0,8041.0,-2.4151500000007218
950.0,8040.0,-2.4148499999992055
951.0,8039.0,-2.414550000001327
952.0,8038.0,-2.414249999999811
953.0,8037.0,-2.4139500000001135
954.0,8036.0,-2.413650000000416
955.0,8035.0,-2.413350000000719
956.0,8034.0,-2.4130499999992026
957.0,8033.0,-2.4127499999995052
958.0,8032.0,-2.412449999999808
959.0,8031.0,-2.4121500000001106
960.0,8030.0,-2.4118500000004133
961.0,8029.0,-2.411549999998897
962.0,8028.0,-2.4112500000010186
963.0,8027.0,-2.4109499999995023
964.0,8026.0,-2.410650000001624
965.0,8025.0,-2.4103499999982887
966.0,8024.0,-2.4100500000004104
967.0,8023.0,-2.409749999998894
968.0,8022.0,-2.4094500000010157
969.0,8021.0,-2.4091500000013184
970.0,8020.0,-2.408849999997983
971.0,8019.0,-2.4085500000037428
972.0,8018.0,-2.4082499999967695
973.0,8017.0,-2.40795000000071
974.0,8016.0,-2.407649999999194
975.0,8015.0,-2.4073499999994965
976.0,8014.0,-2.407049999999799
977.0,8013.0,-2.406750000000102
978.0,8012.0,-2.4064500000022235
979.0,8011.0,-2.4061499999988882
980.0,8010.0,-2.405850000002829
981.0,8009.0,-2.4055499999958556
982.0,8008.0,-2.4052500000016153
983.0,8007.0,-2.404950000000099
984.0,8006.0,-2.4046499999985826
985.0,8005.0,-2.4043500000007043
986.0,8004.0,-2.404049999999188
987.0,8003.0,-2.4037500000013097
988.0,8002.0,-2.4034499999997934
989.0,8001.0,-2.403150000000096
990.0,8000.0,-2.4028499999985797
991.0,7999.0,-2.4025500000025204
992.0,7998.0,-2.402249999999185
993.0,7997.0,-2.4019499999994878
994.0,7996.0,-2.4016499999997905
995.0,7995.0,-2.401350000000093
996.0,7994.0,-2.401050000000396
997.0,7993.0,-2.4007499999988795
998.0,7992.0,-2.400450000001001
999.0,7991.0,-2.400149999999485
1000.0,7990.0,-2.3998500000016065
1001.0,7989.0,-2.39955000000009
1002.0,7988.0,-2.399249999998574
1003.0,7987.0,-2.3989499999988766
1004.0,7986.0,-2.3986500000009983
1005.0,7985.0,-2.398349999999482
1006.0,7984.0,-2.3980499999997846
1007.0,7983.0,-2.3977500000000873
1008.0,7982.0,-2.397450000002209
1009.0,7981.0,-2.3971499999988737
1010.0,7980.0,-2.3968500000009954
1011.0,7979.0,-2.39654999999766
1012.0,7978.0,-2.3962500000016007
1013.0,7977.0,-2.3959499999982654
1014.0,7976.0,-2.395650000000387
1015.0,7975.0,-2.3953500000006898
1016.0,7974.0,-2.3950499999991735
1017.0,7973.0,-2.394750000001295
1018.0,7972.0,-2.394449999999779
1019.0,7971.0,-2.3941500000000815
1020.0,7970.0,-2.393850000000384
1021.0,7969.0,-2.393550000000687
1022.0,7968.0,-2.3932499999991705
1023.0,7967.0,-2.392949999999473
1024.0,7966.0,-2.392649999999776
1025.0,7965.0,-2.3923500000000786
1026.0,7964.0,-2.3920500000003813
1027.0,7963.0,-2.391749999998865
1028.0,7962.0,-2.3914500000009866
